Image,SSIM (Blurry),SSIM (Student)
0024_0_0.jpg,0.8613,0.8535
0024_0_1024.jpg,0.8646,0.8415
0024_0_1280.jpg,0.8281,0.8175
0024_0_1536.jpg,0.8396,0.829
0024_0_256.jpg,0.9086,0.8421
0024_0_512.jpg,0.8588,0.8277
0024_0_768.jpg,0.8752,0.8308
0024_1024_0.jpg,0.8596,0.8465
0024_1024_1024.jpg,0.8443,0.8283
0024_1024_1280.jpg,0.8379,0.8203
0024_1024_1536.jpg,0.8508,0.8256
0024_1024_256.jpg,0.888,0.8744
0024_1024_512.jpg,0.8686,0.8567
0024_1024_768.jpg,0.8661,0.8494
0024_256_0.jpg,0.8042,0.7973
0024_256_1024.jpg,0.8501,0.8455
0024_256_1280.jpg,0.8419,0.8317
0024_256_1536.jpg,0.8538,0.8512
0024_256_256.jpg,0.8375,0.8246
0024_256_512.jpg,0.8676,0.8549
0024_256_768.jpg,0.8402,0.8222
0024_512_0.jpg,0.8286,0.8199
0024_512_1024.jpg,0.9211,0.9186
0024_512_1280.jpg,0.8962,0.8695
0024_512_1536.jpg,0.8568,0.8389
0024_512_256.jpg,0.8445,0.8339
0024_512_512.jpg,0.8601,0.8544
0024_512_768.jpg,0.8996,0.8972
0024_768_0.jpg,0.8677,0.8552
0024_768_1024.jpg,0.8667,0.858
0024_768_1280.jpg,0.8338,0.8266
0024_768_1536.jpg,0.8004,0.7907
0024_768_256.jpg,0.8445,0.8337
0024_768_512.jpg,0.8846,0.8671
0024_768_768.jpg,0.8941,0.8784
0031_0_0.jpg,0.5981,0.5831
0031_0_1024.jpg,0.4789,0.4689
0031_0_1280.jpg,0.4987,0.4906
0031_0_1536.jpg,0.9196,0.9135
0031_0_256.jpg,0.5603,0.5477
0031_0_512.jpg,0.5659,0.5568
0031_0_768.jpg,0.5219,0.5139
0031_1024_0.jpg,0.8924,0.8819
0031_1024_1024.jpg,0.5617,0.5517
0031_1024_1280.jpg,0.4893,0.4783
0031_1024_1536.jpg,0.4482,0.4384
0031_1024_256.jpg,0.8278,0.8158
0031_1024_512.jpg,0.7212,0.7105
0031_1024_768.jpg,0.6007,0.5907
0031_256_0.jpg,0.7354,0.7105
0031_256_1024.jpg,0.6941,0.6879
0031_256_1280.jpg,0.6334,0.6199
0031_256_1536.jpg,0.8161,0.8083
0031_256_256.jpg,0.6657,0.6557
0031_256_512.jpg,0.8875,0.8795
0031_256_768.jpg,0.8085,0.799
0031_512_0.jpg,0.9221,0.8783
0031_512_1024.jpg,0.7763,0.7539
0031_512_1280.jpg,0.7667,0.7469
0031_512_1536.jpg,0.7527,0.7425
0031_512_256.jpg,0.7405,0.7321
0031_512_512.jpg,0.8191,0.813
0031_512_768.jpg,0.8414,0.8289
0031_768_0.jpg,0.8466,0.8265
0031_768_1024.jpg,0.7824,0.7727
0031_768_1280.jpg,0.8366,0.8289
0031_768_1536.jpg,0.7401,0.7317
0031_768_256.jpg,0.8456,0.8352
0031_768_512.jpg,0.8668,0.8585
0031_768_768.jpg,0.8568,0.8434
0032_0_0.jpg,0.9958,0.9901
0032_0_1024.jpg,0.9957,0.9895
0032_0_1280.jpg,0.9958,0.9898
0032_0_1536.jpg,0.9962,0.9876
0032_0_256.jpg,0.9958,0.9906
0032_0_512.jpg,0.9958,0.9907
0032_0_768.jpg,0.9917,0.9862
0032_1024_0.jpg,0.8377,0.8242
0032_1024_1024.jpg,0.7639,0.7544
0032_1024_1280.jpg,0.8154,0.8104
0032_1024_1536.jpg,0.8928,0.8885
0032_1024_256.jpg,0.7545,0.7454
0032_1024_512.jpg,0.6552,0.6443
0032_1024_768.jpg,0.6851,0.675
0032_256_0.jpg,0.9226,0.9175
0032_256_1024.jpg,0.8654,0.8577
0032_256_1280.jpg,0.8661,0.8613
0032_256_1536.jpg,0.8136,0.805
0032_256_256.jpg,0.91,0.9053
0032_256_512.jpg,0.9015,0.8972
0032_256_768.jpg,0.903,0.8978
0032_512_0.jpg,0.8347,0.8269
0032_512_1024.jpg,0.7396,0.7306
0032_512_1280.jpg,0.6391,0.6271
0032_512_1536.jpg,0.6683,0.6565
0032_512_256.jpg,0.6867,0.6754
0032_512_512.jpg,0.7712,0.7648
0032_512_768.jpg,0.762,0.7522
0032_768_0.jpg,0.8601,0.8522
0032_768_1024.jpg,0.6971,0.6888
0032_768_1280.jpg,0.7134,0.7054
0032_768_1536.jpg,0.6611,0.6559
0032_768_256.jpg,0.7807,0.7723
0032_768_512.jpg,0.7403,0.7309
0032_768_768.jpg,0.7954,0.7876
0034_0_0.jpg,0.6819,0.6678
0034_0_1024.jpg,0.6941,0.6789
0034_0_1280.jpg,0.6796,0.6709
0034_0_1536.jpg,0.7798,0.769
0034_0_256.jpg,0.5962,0.5798
0034_0_512.jpg,0.6782,0.668
0034_0_768.jpg,0.8319,0.8193
0034_1024_0.jpg,0.8408,0.8354
0034_1024_1024.jpg,0.5831,0.5767
0034_1024_1280.jpg,0.5586,0.5421
0034_1024_1536.jpg,0.6588,0.6443
0034_1024_256.jpg,0.7642,0.7442
0034_1024_512.jpg,0.6221,0.606
0034_1024_768.jpg,0.6476,0.6388
0034_256_0.jpg,0.6439,0.6191
0034_256_1024.jpg,0.6802,0.6635
0034_256_1280.jpg,0.6708,0.6555
0034_256_1536.jpg,0.7089,0.7007
0034_256_256.jpg,0.6267,0.6081
0034_256_512.jpg,0.5579,0.5446
0034_256_768.jpg,0.6832,0.6538
0034_512_0.jpg,0.7261,0.7182
0034_512_1024.jpg,0.6675,0.6378
0034_512_1280.jpg,0.6606,0.6293
0034_512_1536.jpg,0.7191,0.6971
0034_512_256.jpg,0.6402,0.629
0034_512_512.jpg,0.6392,0.6249
0034_512_768.jpg,0.6739,0.6543
0034_768_0.jpg,0.8236,0.8166
0034_768_1024.jpg,0.6519,0.6408
0034_768_1280.jpg,0.7016,0.6879
0034_768_1536.jpg,0.7451,0.7376
0034_768_256.jpg,0.7327,0.7053
0034_768_512.jpg,0.6307,0.6132
0034_768_768.jpg,0.6145,0.5916
0040_0_0.jpg,0.9586,0.9544
0040_0_1024.jpg,0.972,0.9703
0040_0_1280.jpg,0.9716,0.9702
0040_0_1536.jpg,0.9644,0.9619
0040_0_256.jpg,0.9607,0.9546
0040_0_512.jpg,0.9654,0.9611
0040_0_768.jpg,0.9675,0.964
0040_1024_0.jpg,0.9202,0.9172
0040_1024_1024.jpg,0.8,0.7976
0040_1024_1280.jpg,0.9366,0.9336
0040_1024_1536.jpg,0.9355,0.9329
0040_1024_256.jpg,0.8563,0.8501
0040_1024_512.jpg,0.879,0.8759
0040_1024_768.jpg,0.8956,0.8937
0040_256_0.jpg,0.9591,0.9587
0040_256_1024.jpg,0.9596,0.9581
0040_256_1280.jpg,0.9561,0.954
0040_256_1536.jpg,0.9517,0.9488
0040_256_256.jpg,0.9517,0.9501
0040_256_512.jpg,0.9559,0.9532
0040_256_768.jpg,0.9569,0.9564
0040_512_0.jpg,0.9579,0.9565
0040_512_1024.jpg,0.9484,0.9522
0040_512_1280.jpg,0.9558,0.9536
0040_512_1536.jpg,0.9501,0.9512
0040_512_256.jpg,0.9484,0.9487
0040_512_512.jpg,0.8783,0.8724
0040_512_768.jpg,0.8704,0.8704
0040_768_0.jpg,0.9595,0.9588
0040_768_1024.jpg,0.7293,0.7208
0040_768_1280.jpg,0.9523,0.9519
0040_768_1536.jpg,0.9496,0.9517
0040_768_256.jpg,0.7747,0.7687
0040_768_512.jpg,0.7627,0.736
0040_768_768.jpg,0.749,0.7423
0050_0_0.jpg,0.6023,0.5954
0050_0_1024.jpg,0.8571,0.8553
0050_0_1280.jpg,0.8766,0.8648
0050_0_1536.jpg,0.844,0.8336
0050_0_256.jpg,0.7904,0.7918
0050_0_512.jpg,0.8231,0.8146
0050_0_768.jpg,0.7713,0.7679
0050_1024_0.jpg,0.8751,0.865
0050_1024_1024.jpg,0.7868,0.7499
0050_1024_1280.jpg,0.8229,0.7839
0050_1024_1536.jpg,0.8537,0.8486
0050_1024_256.jpg,0.8082,0.7966
0050_1024_512.jpg,0.7693,0.7602
0050_1024_768.jpg,0.7863,0.7812
0050_256_0.jpg,0.8352,0.833
0050_256_1024.jpg,0.9144,0.9077
0050_256_1280.jpg,0.8915,0.8814
0050_256_1536.jpg,0.8795,0.8723
0050_256_256.jpg,0.8296,0.8319
0050_256_512.jpg,0.866,0.8595
0050_256_768.jpg,0.9048,0.8935
0050_512_0.jpg,0.8421,0.8395
0050_512_1024.jpg,0.8199,0.8116
0050_512_1280.jpg,0.8292,0.8291
0050_512_1536.jpg,0.8068,0.796
0050_512_256.jpg,0.8232,0.8195
0050_512_512.jpg,0.8226,0.8171
0050_512_768.jpg,0.9277,0.9155
0050_768_0.jpg,0.8687,0.8609
0050_768_1024.jpg,0.8274,0.7481
0050_768_1280.jpg,0.8422,0.7886
0050_768_1536.jpg,0.874,0.8635
0050_768_256.jpg,0.8329,0.8254
0050_768_512.jpg,0.7942,0.7893
0050_768_768.jpg,0.7999,0.7965
0064_0_0.jpg,0.9872,0.979
0064_0_1024.jpg,0.989,0.9791
0064_0_1280.jpg,0.9894,0.9816
0064_0_1536.jpg,0.9864,0.977
0064_0_256.jpg,0.9636,0.9562
0064_0_512.jpg,0.9846,0.9751
0064_0_768.jpg,0.9851,0.9743
